cuenta,nivel,cuenta_padre,naturaleza,nombre,saldo_ini_deudor,saldo_ini_acreedor,debe,haber,saldo_fin_deudor,saldo_fin_acreedor
101,1,,D,Caja,10000.00,0.00,5000.00,1250.25,13749.75,0.00
101-01,2,101,D,Caja chica,4000.00,0.00,2000.00,1250.25,4749.75,0.00
101-02,2,101,D,Caja general,6000.00,0.00,3000.00,0.00,9000.00,0.00
102,1,,D,Bancos,250000.00,0.00,150000.00,70500.75,329499.25,0.00
102-01,2,102,D,Banco del Centro,200500.00,0.00,150000.00,61750.25,288749.75,0.00
102-01-0001,3,102-01,D,Cuenta de cheques moneda nacional,200000.00,0.00,150000.00,60000.00,290000.00,0.00
102-01-0002,3,102-01,D,Cuenta de inversion,500.00,0.00,0.00,1750.25,-1250.25,0.00
102-02,2,102,D,Banco del Norte,49500.00,0.00,0.00,8750.50,40749.50,0.00
201,1,,A,Proveedores,0.00,60000.00,40000.00,8000.00,0.00,28000.00
201-01,2,201,A,Proveedores nacionales,0.00,45000.00,30000.00,5000.00,0.00,20000.00
201-02,2,201,A,Proveedores extranjeros,0.00,15000.00,10000.00,3000.00,0.00,8000.00
301,1,,A,Capital social,0.00,200000.00,0.00,0.00,0.00,200000.00
401,1,,A,Ventas,0.00,0.00,0.00,150000.00,0.00,150000.00
601,1,,D,Gastos generales,0.00,0.00,34751.00,0.00,34751.00,0.00
601-01,2,601,D,Servicios,0.00,0.00,25500.75,0.00,25500.75,0.00
601-02,2,601,D,Papeleria,0.00,0.00,9250.25,0.00,9250.25,0.00
